Step #0.00 (0ms ?*RT. ?UPS, TraCI: 1214ms, vehicles TOT 0 ACT 0 BUF 0)                   
Step #0.00 (6ms ~= 166.67*RT, ~833.33UPS, TraCI: 42ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (2ms ~= 500.00*RT, ~58000.00UPS, TraCI: 4ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #2000.00 (51ms ~= 19.61*RT, ~17411.76UPS, TraCI: 7ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (52ms ~= 19.23*RT, ~17557.69UPS, TraCI: 8ms, vehicles TOT 1810 ACT 913 BUF 5
Step #2200.00 (53ms ~= 18.87*RT, ~17660.38UPS, TraCI: 8ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (55ms ~= 18.18*RT, ~17072.73UPS, TraCI: 6ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (56ms ~= 17.86*RT, ~16482.14UPS, TraCI: 8ms, vehicles TOT 1935 ACT 923 BUF 7
Step #2500.00 (54ms ~= 18.52*RT, ~17111.11UPS, TraCI: 8ms, vehicles TOT 1967 ACT 924 BUF 8
Step #2600.00 (126ms ~= 7.94*RT, ~7309.52UPS, TraCI: 1ms, vehicles TOT 2000 ACT 921 BUF 95
Step #2700.00 (59ms ~= 16.95*RT, ~15847.46UPS, TraCI: 12ms, vehicles TOT 2042 ACT 935 BUF 
Step #2800.00 (65ms ~= 15.38*RT, ~14584.62UPS, TraCI: 1ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (57ms ~= 17.54*RT, ~16842.11UPS, TraCI: 8ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (51ms ~= 19.61*RT, ~18901.96UPS, TraCI: 7ms, vehicles TOT 2201 ACT 964 BUF 1
Step #3100.00 (52ms ~= 19.23*RT, ~18557.69UPS, TraCI: 8ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (53ms ~= 18.87*RT, ~17849.06UPS, TraCI: 8ms, vehicles TOT 2265 ACT 946 BUF 1
Step #3300.00 (54ms ~= 18.52*RT, ~17851.85UPS, TraCI: 8ms, vehicles TOT 2318 ACT 964 BUF 1
Step #3400.00 (54ms ~= 18.52*RT, ~17777.78UPS, TraCI: 7ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (59ms ~= 16.95*RT, ~16118.64UPS, TraCI: 1ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (70ms ~= 14.29*RT, ~13742.86UPS, TraCI: 8ms, vehicles TOT 2424 ACT 962 BUF 2
Step #3603.00 (52ms ~= 19.23*RT, ~18538.46UPS, TraCI: 16ms, vehicles TOT 2426 ACT 964 BUF 

Step #0.00 (2ms ~= 500.00*RT, ~2500.00UPS, TraCI: 5ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (2ms ~= 500.00*RT, ~58000.00UPS, TraCI: 4ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #200.00 (4ms ~= 250.00*RT, ~42250.00UPS, TraCI: 5ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (7ms ~= 142.86*RT, ~31000.00UPS, TraCI: 6ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (8ms ~= 125.00*RT, ~34375.00UPS, TraCI: 7ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (10ms ~= 100.00*RT, ~34200.00UPS, TraCI: 8ms, vehicles TOT 507 ACT 342 BUF 0)
Step #600.00 (14ms ~= 71.43*RT, ~28142.86UPS, TraCI: 8ms, vehicles TOT 595 ACT 394 BUF 10)
Step #700.00 (22ms ~= 45.45*RT, ~20181.82UPS, TraCI: 0ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (21ms ~= 47.62*RT, ~23761.90UPS, TraCI: 8ms, vehicles TOT 785 ACT 499 BUF 0) 
Step #900.00 (34ms ~= 29.41*RT, ~15941.18UPS, TraCI: 8ms, vehicles TOT 861 ACT 542 BUF 61)
Step #1000.00 (33ms ~= 30.30*RT, ~19242.42UPS, TraCI: 6ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (51ms ~= 19.61*RT, ~13274.51UPS, TraCI: 11ms, vehicles TOT 1094 ACT 677 BUF 
Step #1200.00 (58ms ~= 17.24*RT, ~12396.55UPS, TraCI: 14ms, vehicles TOT 1178 ACT 719 BUF 
Step #1300.00 (42ms ~= 23.81*RT, ~18047.62UPS, TraCI: 9ms, vehicles TOT 1270 ACT 758 BUF 8
Step #1400.00 (51ms ~= 19.61*RT, ~15921.57UPS, TraCI: 8ms, vehicles TOT 1367 ACT 812 BUF 1
Step #1500.00 (47ms ~= 21.28*RT, ~17595.74UPS, TraCI: 8ms, vehicles TOT 1429 ACT 827 BUF 1
Step #1600.00 (51ms ~= 19.61*RT, ~16450.98UPS, TraCI: 8ms, vehicles TOT 1489 ACT 839 BUF 2
Step #1700.00 (58ms ~= 17.24*RT, ~14637.93UPS, TraCI: 8ms, vehicles TOT 1552 ACT 849 BUF 2
Step #1800.00 (56ms ~= 17.86*RT, ~15250.00UPS, TraCI: 15ms, vehicles TOT 1601 ACT 854 BUF 
Step #1900.00 (54ms ~= 18.52*RT, ~16500.00UPS, TraCI: 8ms, vehicles TOT 1681 ACT 891 BUF 3
Step #2000.00 (51ms ~= 19.61*RT, ~17411.76UPS, TraCI: 8ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (53ms ~= 18.87*RT, ~17226.42UPS, TraCI: 8ms, vehicles TOT 1810 ACT 913 BUF 5
Step #2200.00 (51ms ~= 19.61*RT, ~18352.94UPS, TraCI: 1ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (52ms ~= 19.23*RT, ~18057.69UPS, TraCI: 8ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (52ms ~= 19.23*RT, ~17750.00UPS, TraCI: 2ms, vehicles TOT 1935 ACT 923 BUF 7
Step #2500.00 (54ms ~= 18.52*RT, ~17111.11UPS, TraCI: 7ms, vehicles TOT 1967 ACT 924 BUF 8
Step #2600.00 (59ms ~= 16.95*RT, ~15610.17UPS, TraCI: 7ms, vehicles TOT 2000 ACT 921 BUF 9
Step #2700.00 (62ms ~= 16.13*RT, ~15080.65UPS, TraCI: 1ms, vehicles TOT 2042 ACT 935 BUF 1
Step #2800.00 (65ms ~= 15.38*RT, ~14584.62UPS, TraCI: 7ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (50ms ~= 20.00*RT, ~19200.00UPS, TraCI: 8ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (51ms ~= 19.61*RT, ~18901.96UPS, TraCI: 9ms, vehicles TOT 2201 ACT 964 BUF 1
Step #3100.00 (51ms ~= 19.61*RT, ~18921.57UPS, TraCI: 8ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (254ms ~= 3.94*RT, ~3724.41UPS, TraCI: 174ms, vehicles TOT 2265 ACT 946 BUF 
Step #3300.00 (53ms ~= 18.87*RT, ~18188.68UPS, TraCI: 6ms, vehicles TOT 2318 ACT 964 BUF 1
Step #3400.00 (58ms ~= 17.24*RT, ~16551.72UPS, TraCI: 6ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (51ms ~= 19.61*RT, ~18647.06UPS, TraCI: 1ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (53ms ~= 18.87*RT, ~18132.08UPS, TraCI: 15ms, vehicles TOT 2423 ACT 961 BUF 

Step #0.00 (3ms ~= 333.33*RT, ~1666.67UPS, TraCI: 9ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (2ms ~= 500.00*RT, ~58000.00UPS, TraCI: 5ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #200.00 (4ms ~= 250.00*RT, ~42250.00UPS, TraCI: 4ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (6ms ~= 166.67*RT, ~36166.67UPS, TraCI: 7ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (7ms ~= 142.86*RT, ~39285.71UPS, TraCI: 0ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (15ms ~= 66.67*RT, ~22800.00UPS, TraCI: 10ms, vehicles TOT 507 ACT 342 BUF 0)
Step #600.00 (15ms ~= 66.67*RT, ~26266.67UPS, TraCI: 7ms, vehicles TOT 595 ACT 394 BUF 10)
Step #700.00 (18ms ~= 55.56*RT, ~24666.67UPS, TraCI: 0ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (21ms ~= 47.62*RT, ~23761.90UPS, TraCI: 8ms, vehicles TOT 785 ACT 499 BUF 0) 
Step #900.00 (27ms ~= 37.04*RT, ~20074.07UPS, TraCI: 8ms, vehicles TOT 861 ACT 542 BUF 61)
Step #1000.00 (31ms ~= 32.26*RT, ~20483.87UPS, TraCI: 9ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (35ms ~= 28.57*RT, ~19342.86UPS, TraCI: 8ms, vehicles TOT 1094 ACT 677 BUF 3
Step #1200.00 (41ms ~= 24.39*RT, ~17536.59UPS, TraCI: 12ms, vehicles TOT 1178 ACT 719 BUF 
Step #1300.00 (43ms ~= 23.26*RT, ~17627.91UPS, TraCI: 7ms, vehicles TOT 1270 ACT 758 BUF 8
Step #1400.00 (51ms ~= 19.61*RT, ~15921.57UPS, TraCI: 7ms, vehicles TOT 1367 ACT 812 BUF 1
Step #1500.00 (47ms ~= 21.28*RT, ~17595.74UPS, TraCI: 8ms, vehicles TOT 1429 ACT 827 BUF 1
Step #1600.00 (47ms ~= 21.28*RT, ~17851.06UPS, TraCI: 7ms, vehicles TOT 1489 ACT 839 BUF 2
Step #1700.00 (48ms ~= 20.83*RT, ~17687.50UPS, TraCI: 8ms, vehicles TOT 1552 ACT 849 BUF 2
Step #1800.00 (70ms ~= 14.29*RT, ~12200.00UPS, TraCI: 8ms, vehicles TOT 1601 ACT 854 BUF 3
Step #1900.00 (55ms ~= 18.18*RT, ~16200.00UPS, TraCI: 6ms, vehicles TOT 1681 ACT 891 BUF 3
Step #2000.00 (48ms ~= 20.83*RT, ~18500.00UPS, TraCI: 7ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (66ms ~= 15.15*RT, ~13833.33UPS, TraCI: 15ms, vehicles TOT 1810 ACT 913 BUF 
Step #2200.00 (52ms ~= 19.23*RT, ~18000.00UPS, TraCI: 1ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (53ms ~= 18.87*RT, ~17716.98UPS, TraCI: 8ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (53ms ~= 18.87*RT, ~17415.09UPS, TraCI: 7ms, vehicles TOT 1935 ACT 923 BUF 7
Step #2500.00 (54ms ~= 18.52*RT, ~17111.11UPS, TraCI: 7ms, vehicles TOT 1967 ACT 924 BUF 8
Step #2600.00 (53ms ~= 18.87*RT, ~17377.36UPS, TraCI: 7ms, vehicles TOT 2000 ACT 921 BUF 9
Step #2700.00 (56ms ~= 17.86*RT, ~16696.43UPS, TraCI: 7ms, vehicles TOT 2042 ACT 935 BUF 1
Step #2800.00 (56ms ~= 17.86*RT, ~16928.57UPS, TraCI: 9ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (50ms ~= 20.00*RT, ~19200.00UPS, TraCI: 7ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (51ms ~= 19.61*RT, ~18901.96UPS, TraCI: 8ms, vehicles TOT 2201 ACT 964 BUF 1
Step #3100.00 (52ms ~= 19.23*RT, ~18557.69UPS, TraCI: 8ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (53ms ~= 18.87*RT, ~17849.06UPS, TraCI: 0ms, vehicles TOT 2265 ACT 946 BUF 1
Step #3300.00 (55ms ~= 18.18*RT, ~17527.27UPS, TraCI: 11ms, vehicles TOT 2318 ACT 964 BUF 
Step #3400.00 (79ms ~= 12.66*RT, ~12151.90UPS, TraCI: 8ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (52ms ~= 19.23*RT, ~18288.46UPS, TraCI: 7ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (62ms ~= 16.13*RT, ~15516.13UPS, TraCI: 8ms, vehicles TOT 2424 ACT 962 BUF 2
Step #3612.00 (51ms ~= 19.61*RT, ~19039.22UPS, TraCI: 15ms, vehicles TOT 2435 ACT 971 BUF 

Step #0.00 (2ms ~= 500.00*RT, ~2500.00UPS, TraCI: 6ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (2ms ~= 500.00*RT, ~58000.00UPS, TraCI: 3ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #200.00 (3ms ~= 333.33*RT, ~56333.33UPS, TraCI: 4ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (5ms ~= 200.00*RT, ~43400.00UPS, TraCI: 6ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (7ms ~= 142.86*RT, ~39285.71UPS, TraCI: 0ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (10ms ~= 100.00*RT, ~34200.00UPS, TraCI: 7ms, vehicles TOT 507 ACT 342 BUF 0)
Step #600.00 (15ms ~= 66.67*RT, ~26266.67UPS, TraCI: 8ms, vehicles TOT 595 ACT 394 BUF 10)
Step #700.00 (19ms ~= 52.63*RT, ~23368.42UPS, TraCI: 7ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (21ms ~= 47.62*RT, ~23761.90UPS, TraCI: 8ms, vehicles TOT 785 ACT 499 BUF 0) 
Step #900.00 (28ms ~= 35.71*RT, ~19357.14UPS, TraCI: 8ms, vehicles TOT 861 ACT 542 BUF 61)
Step #1000.00 (31ms ~= 32.26*RT, ~20483.87UPS, TraCI: 0ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (38ms ~= 26.32*RT, ~17815.79UPS, TraCI: 7ms, vehicles TOT 1094 ACT 677 BUF 3
Step #1200.00 (41ms ~= 24.39*RT, ~17536.59UPS, TraCI: 8ms, vehicles TOT 1178 ACT 719 BUF 7
Step #1300.00 (43ms ~= 23.26*RT, ~17627.91UPS, TraCI: 8ms, vehicles TOT 1270 ACT 758 BUF 8
Step #1400.00 (53ms ~= 18.87*RT, ~15320.75UPS, TraCI: 8ms, vehicles TOT 1367 ACT 812 BUF 1
Step #1500.00 (48ms ~= 20.83*RT, ~17229.17UPS, TraCI: 8ms, vehicles TOT 1429 ACT 827 BUF 1
Step #1600.00 (45ms ~= 22.22*RT, ~18644.44UPS, TraCI: 9ms, vehicles TOT 1489 ACT 839 BUF 2
Step #1700.00 (48ms ~= 20.83*RT, ~17687.50UPS, TraCI: 7ms, vehicles TOT 1552 ACT 849 BUF 2
Step #1800.00 (50ms ~= 20.00*RT, ~17080.00UPS, TraCI: 12ms, vehicles TOT 1601 ACT 854 BUF 
Step #1900.00 (52ms ~= 19.23*RT, ~17134.62UPS, TraCI: 9ms, vehicles TOT 1681 ACT 891 BUF 3
Step #2000.00 (48ms ~= 20.83*RT, ~18500.00UPS, TraCI: 8ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (51ms ~= 19.61*RT, ~17901.96UPS, TraCI: 12ms, vehicles TOT 1810 ACT 913 BUF 
Step #2200.00 (51ms ~= 19.61*RT, ~18352.94UPS, TraCI: 7ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (52ms ~= 19.23*RT, ~18057.69UPS, TraCI: 8ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (73ms ~= 13.70*RT, ~12643.84UPS, TraCI: 9ms, vehicles TOT 1935 ACT 923 BUF 7
Step #2500.00 (54ms ~= 18.52*RT, ~17111.11UPS, TraCI: 7ms, vehicles TOT 1967 ACT 924 BUF 8
Step #2600.00 (63ms ~= 15.87*RT, ~14619.05UPS, TraCI: 20ms, vehicles TOT 2000 ACT 921 BUF 
Step #2700.00 (62ms ~= 16.13*RT, ~15080.65UPS, TraCI: 7ms, vehicles TOT 2042 ACT 935 BUF 1
Step #2800.00 (56ms ~= 17.86*RT, ~16928.57UPS, TraCI: 7ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (50ms ~= 20.00*RT, ~19200.00UPS, TraCI: 6ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (54ms ~= 18.52*RT, ~17851.85UPS, TraCI: 8ms, vehicles TOT 2201 ACT 964 BUF 1
Step #3100.00 (52ms ~= 19.23*RT, ~18557.69UPS, TraCI: 0ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (52ms ~= 19.23*RT, ~18192.31UPS, TraCI: 8ms, vehicles TOT 2265 ACT 946 BUF 1
Step #3300.00 (55ms ~= 18.18*RT, ~17527.27UPS, TraCI: 7ms, vehicles TOT 2318 ACT 964 BUF 1
Step #3400.00 (59ms ~= 16.95*RT, ~16271.19UPS, TraCI: 8ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (53ms ~= 18.87*RT, ~17943.40UPS, TraCI: 8ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (116ms ~= 8.62*RT, ~8293.10UPS, TraCI: 11ms, vehicles TOT 2424 ACT 962 BUF 2
Step #3612.00 (60ms ~= 16.67*RT, ~16183.33UPS, TraCI: 15ms, vehicles TOT 2435 ACT 971 BUF 

Step #0.00 (3ms ~= 333.33*RT, ~1666.67UPS, TraCI: 6ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (2ms ~= 500.00*RT, ~58000.00UPS, TraCI: 7ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #200.00 (4ms ~= 250.00*RT, ~42250.00UPS, TraCI: 4ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (5ms ~= 200.00*RT, ~43400.00UPS, TraCI: 2ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (7ms ~= 142.86*RT, ~39285.71UPS, TraCI: 7ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (10ms ~= 100.00*RT, ~34200.00UPS, TraCI: 8ms, vehicles TOT 507 ACT 342 BUF 0)
Step #600.00 (15ms ~= 66.67*RT, ~26266.67UPS, TraCI: 11ms, vehicles TOT 595 ACT 394 BUF 10
Step #700.00 (17ms ~= 58.82*RT, ~26117.65UPS, TraCI: 0ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (20ms ~= 50.00*RT, ~24950.00UPS, TraCI: 8ms, vehicles TOT 785 ACT 499 BUF 0) 
Step #900.00 (28ms ~= 35.71*RT, ~19357.14UPS, TraCI: 7ms, vehicles TOT 861 ACT 542 BUF 61)
Step #1000.00 (32ms ~= 31.25*RT, ~19843.75UPS, TraCI: 0ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (35ms ~= 28.57*RT, ~19342.86UPS, TraCI: 8ms, vehicles TOT 1094 ACT 677 BUF 3
Step #1200.00 (42ms ~= 23.81*RT, ~17119.05UPS, TraCI: 8ms, vehicles TOT 1178 ACT 719 BUF 7
Step #1300.00 (42ms ~= 23.81*RT, ~18047.62UPS, TraCI: 8ms, vehicles TOT 1270 ACT 758 BUF 8
Step #1400.00 (52ms ~= 19.23*RT, ~15615.38UPS, TraCI: 8ms, vehicles TOT 1367 ACT 812 BUF 1
Step #1500.00 (70ms ~= 14.29*RT, ~11814.29UPS, TraCI: 2ms, vehicles TOT 1429 ACT 827 BUF 1
Step #1600.00 (46ms ~= 21.74*RT, ~18239.13UPS, TraCI: 8ms, vehicles TOT 1489 ACT 839 BUF 2
Step #1700.00 (47ms ~= 21.28*RT, ~18063.83UPS, TraCI: 8ms, vehicles TOT 1552 ACT 849 BUF 2
Step #1800.00 (51ms ~= 19.61*RT, ~16745.10UPS, TraCI: 1ms, vehicles TOT 1601 ACT 854 BUF 3
Step #1900.00 (52ms ~= 19.23*RT, ~17134.62UPS, TraCI: 8ms, vehicles TOT 1681 ACT 891 BUF 3
Step #2000.00 (59ms ~= 16.95*RT, ~15050.85UPS, TraCI: 6ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (64ms ~= 15.62*RT, ~14265.62UPS, TraCI: 7ms, vehicles TOT 1810 ACT 913 BUF 5
Step #2200.00 (51ms ~= 19.61*RT, ~18352.94UPS, TraCI: 8ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (70ms ~= 14.29*RT, ~13414.29UPS, TraCI: 11ms, vehicles TOT 1901 ACT 939 BUF 
Step #2400.00 (51ms ~= 19.61*RT, ~18098.04UPS, TraCI: 8ms, vehicles TOT 1935 ACT 923 BUF 7
Step #2500.00 (51ms ~= 19.61*RT, ~18117.65UPS, TraCI: 9ms, vehicles TOT 1967 ACT 924 BUF 8
Step #2600.00 (54ms ~= 18.52*RT, ~17055.56UPS, TraCI: 7ms, vehicles TOT 2000 ACT 921 BUF 9
Step #2700.00 (52ms ~= 19.23*RT, ~17980.77UPS, TraCI: 11ms, vehicles TOT 2042 ACT 935 BUF 
Step #2800.00 (59ms ~= 16.95*RT, ~16067.80UPS, TraCI: 8ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (79ms ~= 12.66*RT, ~12151.90UPS, TraCI: 8ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (51ms ~= 19.61*RT, ~18901.96UPS, TraCI: 8ms, vehicles TOT 2201 ACT 964 BUF 1
Step #3100.00 (53ms ~= 18.87*RT, ~18207.55UPS, TraCI: 8ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (53ms ~= 18.87*RT, ~17849.06UPS, TraCI: 7ms, vehicles TOT 2265 ACT 946 BUF 1
Step #3300.00 (57ms ~= 17.54*RT, ~16912.28UPS, TraCI: 17ms, vehicles TOT 2318 ACT 964 BUF 
Step #3400.00 (60ms ~= 16.67*RT, ~16000.00UPS, TraCI: 9ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (51ms ~= 19.61*RT, ~18647.06UPS, TraCI: 0ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (61ms ~= 16.39*RT, ~15770.49UPS, TraCI: 1ms, vehicles TOT 2424 ACT 962 BUF 2
Step #3615.00 (51ms ~= 19.61*RT, ~19058.82UPS, TraCI: 127ms, vehicles TOT 2438 ACT 972 BUF

Step #0.00 (2ms ~= 500.00*RT, ~2500.00UPS, TraCI: 6ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (7ms ~= 142.86*RT, ~16571.43UPS, TraCI: 21ms, vehicles TOT 128 ACT 116 BUF 1)
Step #200.00 (3ms ~= 333.33*RT, ~56333.33UPS, TraCI: 3ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (7ms ~= 142.86*RT, ~31000.00UPS, TraCI: 5ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (7ms ~= 142.86*RT, ~39285.71UPS, TraCI: 6ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (10ms ~= 100.00*RT, ~34200.00UPS, TraCI: 8ms, vehicles TOT 507 ACT 342 BUF 0)
Step #600.00 (15ms ~= 66.67*RT, ~26266.67UPS, TraCI: 1ms, vehicles TOT 595 ACT 394 BUF 10)
Step #700.00 (17ms ~= 58.82*RT, ~26117.65UPS, TraCI: 8ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (81ms ~= 12.35*RT, ~6160.49UPS, TraCI: 292ms, vehicles TOT 785 ACT 499 BUF 0)
Step #900.00 (27ms ~= 37.04*RT, ~20074.07UPS, TraCI: 1ms, vehicles TOT 861 ACT 542 BUF 61)
Step #1000.00 (33ms ~= 30.30*RT, ~19242.42UPS, TraCI: 8ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (56ms ~= 17.86*RT, ~12089.29UPS, TraCI: 8ms, vehicles TOT 1094 ACT 677 BUF 3
Step #1200.00 (43ms ~= 23.26*RT, ~16720.93UPS, TraCI: 7ms, vehicles TOT 1178 ACT 719 BUF 7
Step #1300.00 (43ms ~= 23.26*RT, ~17627.91UPS, TraCI: 0ms, vehicles TOT 1270 ACT 758 BUF 8
Step #1400.00 (52ms ~= 19.23*RT, ~15615.38UPS, TraCI: 7ms, vehicles TOT 1367 ACT 812 BUF 1
Step #1500.00 (46ms ~= 21.74*RT, ~17978.26UPS, TraCI: 9ms, vehicles TOT 1429 ACT 827 BUF 1
Step #1600.00 (47ms ~= 21.28*RT, ~17851.06UPS, TraCI: 8ms, vehicles TOT 1489 ACT 839 BUF 2
Step #1700.00 (47ms ~= 21.28*RT, ~18063.83UPS, TraCI: 8ms, vehicles TOT 1552 ACT 849 BUF 2
Step #1800.00 (50ms ~= 20.00*RT, ~17080.00UPS, TraCI: 8ms, vehicles TOT 1601 ACT 854 BUF 3
Step #1900.00 (53ms ~= 18.87*RT, ~16811.32UPS, TraCI: 7ms, vehicles TOT 1681 ACT 891 BUF 3
Step #2000.00 (51ms ~= 19.61*RT, ~17411.76UPS, TraCI: 8ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (60ms ~= 16.67*RT, ~15216.67UPS, TraCI: 8ms, vehicles TOT 1810 ACT 913 BUF 5
Step #2200.00 (51ms ~= 19.61*RT, ~18352.94UPS, TraCI: 0ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (51ms ~= 19.61*RT, ~18411.76UPS, TraCI: 8ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (51ms ~= 19.61*RT, ~18098.04UPS, TraCI: 7ms, vehicles TOT 1935 ACT 923 BUF 7
Step #2500.00 (56ms ~= 17.86*RT, ~16500.00UPS, TraCI: 8ms, vehicles TOT 1967 ACT 924 BUF 8
Step #2600.00 (53ms ~= 18.87*RT, ~17377.36UPS, TraCI: 0ms, vehicles TOT 2000 ACT 921 BUF 9
Step #2700.00 (55ms ~= 18.18*RT, ~17000.00UPS, TraCI: 13ms, vehicles TOT 2042 ACT 935 BUF 
Step #2800.00 (65ms ~= 15.38*RT, ~14584.62UPS, TraCI: 9ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (51ms ~= 19.61*RT, ~18823.53UPS, TraCI: 8ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (52ms ~= 19.23*RT, ~18538.46UPS, TraCI: 7ms, vehicles TOT 2201 ACT 964 BUF 1
Step #3100.00 (56ms ~= 17.86*RT, ~17232.14UPS, TraCI: 8ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (94ms ~= 10.64*RT, ~10063.83UPS, TraCI: 11ms, vehicles TOT 2265 ACT 946 BUF 
Step #3300.00 (131ms ~= 7.63*RT, ~7358.78UPS, TraCI: 10ms, vehicles TOT 2318 ACT 964 BUF 1
Step #3400.00 (54ms ~= 18.52*RT, ~17777.78UPS, TraCI: 8ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (71ms ~= 14.08*RT, ~13394.37UPS, TraCI: 7ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (63ms ~= 15.87*RT, ~15269.84UPS, TraCI: 7ms, vehicles TOT 2424 ACT 962 BUF 2
Step #3609.00 (52ms ~= 19.23*RT, ~18615.38UPS, TraCI: 14ms, vehicles TOT 2432 ACT 968 BUF 

Step #0.00 (3ms ~= 333.33*RT, ~1666.67UPS, TraCI: 6ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (2ms ~= 500.00*RT, ~58000.00UPS, TraCI: 3ms, vehicles TOT 128 ACT 116 BUF 1) 
