Step #0.00 (0ms ?*RT. ?UPS, TraCI: 806ms, vehicles TOT 0 ACT 0 BUF 0)                    
Step #0.00 (10ms ~= 100.00*RT, ~500.00UPS, TraCI: 14ms, vehicles TOT 5 ACT 5 BUF 50)      
Step #100.00 (2ms ~= 500.00*RT, ~58000.00UPS, TraCI: 0ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #2000.00 (48ms ~= 20.83*RT, ~18500.00UPS, TraCI: 6ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (50ms ~= 20.00*RT, ~18260.00UPS, TraCI: 2ms, vehicles TOT 1810 ACT 913 BUF 5
Step #2200.00 (52ms ~= 19.23*RT, ~18000.00UPS, TraCI: 6ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (50ms ~= 20.00*RT, ~18780.00UPS, TraCI: 9ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (53ms ~= 18.87*RT, ~17415.09UPS, TraCI: 6ms, vehicles TOT 1935 ACT 923 BUF 7
Step #2500.00 (51ms ~= 19.61*RT, ~18117.65UPS, TraCI: 9ms, vehicles TOT 1967 ACT 924 BUF 8
Step #2600.00 (54ms ~= 18.52*RT, ~17055.56UPS, TraCI: 7ms, vehicles TOT 2000 ACT 921 BUF 9
Step #2700.00 (54ms ~= 18.52*RT, ~17314.81UPS, TraCI: 2ms, vehicles TOT 2042 ACT 935 BUF 1
Step #2800.00 (54ms ~= 18.52*RT, ~17555.56UPS, TraCI: 9ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (50ms ~= 20.00*RT, ~19200.00UPS, TraCI: 8ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (50ms ~= 20.00*RT, ~19280.00UPS, TraCI: 9ms, vehicles TOT 2201 ACT 964 BUF 1
Step #3100.00 (51ms ~= 19.61*RT, ~18921.57UPS, TraCI: 0ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (54ms ~= 18.52*RT, ~17518.52UPS, TraCI: 8ms, vehicles TOT 2265 ACT 946 BUF 1
Step #3300.00 (57ms ~= 17.54*RT, ~16912.28UPS, TraCI: 6ms, vehicles TOT 2318 ACT 964 BUF 1
Step #3400.00 (54ms ~= 18.52*RT, ~17777.78UPS, TraCI: 7ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (52ms ~= 19.23*RT, ~18288.46UPS, TraCI: 6ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (53ms ~= 18.87*RT, ~18132.08UPS, TraCI: 14ms, vehicles TOT 2423 ACT 961 BUF 

Step #0.00 (2ms ~= 500.00*RT, ~2500.00UPS, TraCI: 6ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (2ms ~= 500.00*RT, ~58000.00UPS, TraCI: 3ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #200.00 (3ms ~= 333.33*RT, ~56333.33UPS, TraCI: 0ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (5ms ~= 200.00*RT, ~43400.00UPS, TraCI: 5ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (7ms ~= 142.86*RT, ~39285.71UPS, TraCI: 7ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (10ms ~= 100.00*RT, ~34200.00UPS, TraCI: 9ms, vehicles TOT 507 ACT 342 BUF 0)
Step #600.00 (14ms ~= 71.43*RT, ~28142.86UPS, TraCI: 9ms, vehicles TOT 595 ACT 394 BUF 10)
Step #700.00 (18ms ~= 55.56*RT, ~24666.67UPS, TraCI: 0ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (21ms ~= 47.62*RT, ~23761.90UPS, TraCI: 9ms, vehicles TOT 785 ACT 499 BUF 0) 
Step #900.00 (27ms ~= 37.04*RT, ~20074.07UPS, TraCI: 9ms, vehicles TOT 861 ACT 542 BUF 61)
Step #1000.00 (33ms ~= 30.30*RT, ~19242.42UPS, TraCI: 7ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (36ms ~= 27.78*RT, ~18805.56UPS, TraCI: 8ms, vehicles TOT 1094 ACT 677 BUF 3
Step #1200.00 (44ms ~= 22.73*RT, ~16340.91UPS, TraCI: 12ms, vehicles TOT 1178 ACT 719 BUF 
Step #1300.00 (45ms ~= 22.22*RT, ~16844.44UPS, TraCI: 7ms, vehicles TOT 1270 ACT 758 BUF 8
Step #1400.00 (51ms ~= 19.61*RT, ~15921.57UPS, TraCI: 8ms, vehicles TOT 1367 ACT 812 BUF 1
Step #1500.00 (48ms ~= 20.83*RT, ~17229.17UPS, TraCI: 8ms, vehicles TOT 1429 ACT 827 BUF 1
Step #1600.00 (51ms ~= 19.61*RT, ~16450.98UPS, TraCI: 7ms, vehicles TOT 1489 ACT 839 BUF 2
Step #1700.00 (54ms ~= 18.52*RT, ~15722.22UPS, TraCI: 7ms, vehicles TOT 1552 ACT 849 BUF 2
Step #1800.00 (53ms ~= 18.87*RT, ~16113.21UPS, TraCI: 11ms, vehicles TOT 1601 ACT 854 BUF 
Step #1900.00 (57ms ~= 17.54*RT, ~15631.58UPS, TraCI: 7ms, vehicles TOT 1681 ACT 891 BUF 3
Step #2000.00 (50ms ~= 20.00*RT, ~17760.00UPS, TraCI: 8ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (50ms ~= 20.00*RT, ~18260.00UPS, TraCI: 9ms, vehicles TOT 1810 ACT 913 BUF 5
Step #2200.00 (53ms ~= 18.87*RT, ~17660.38UPS, TraCI: 9ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (54ms ~= 18.52*RT, ~17388.89UPS, TraCI: 0ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (52ms ~= 19.23*RT, ~17750.00UPS, TraCI: 1ms, vehicles TOT 1935 ACT 923 BUF 7
Step #2500.00 (54ms ~= 18.52*RT, ~17111.11UPS, TraCI: 7ms, vehicles TOT 1967 ACT 924 BUF 8
Step #2600.00 (54ms ~= 18.52*RT, ~17055.56UPS, TraCI: 7ms, vehicles TOT 2000 ACT 921 BUF 9
Step #2700.00 (56ms ~= 17.86*RT, ~16696.43UPS, TraCI: 7ms, vehicles TOT 2042 ACT 935 BUF 1
Step #2800.00 (65ms ~= 15.38*RT, ~14584.62UPS, TraCI: 7ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (52ms ~= 19.23*RT, ~18461.54UPS, TraCI: 4ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (55ms ~= 18.18*RT, ~17527.27UPS, TraCI: 1ms, vehicles TOT 2201 ACT 964 BUF 1
Step #3100.00 (51ms ~= 19.61*RT, ~18921.57UPS, TraCI: 9ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (54ms ~= 18.52*RT, ~17518.52UPS, TraCI: 6ms, vehicles TOT 2265 ACT 946 BUF 1
Step #3300.00 (56ms ~= 17.86*RT, ~17214.29UPS, TraCI: 5ms, vehicles TOT 2318 ACT 964 BUF 1
Step #3400.00 (55ms ~= 18.18*RT, ~17454.55UPS, TraCI: 8ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (53ms ~= 18.87*RT, ~17943.40UPS, TraCI: 7ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (51ms ~= 19.61*RT, ~18862.75UPS, TraCI: 2ms, vehicles TOT 2424 ACT 962 BUF 2
Step #3615.00 (54ms ~= 18.52*RT, ~18000.00UPS, TraCI: 10ms, vehicles TOT 2438 ACT 972 BUF 

Step #0.00 (2ms ~= 500.00*RT, ~2500.00UPS, TraCI: 5ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (2ms ~= 500.00*RT, ~58000.00UPS, TraCI: 5ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #200.00 (4ms ~= 250.00*RT, ~42250.00UPS, TraCI: 5ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (5ms ~= 200.00*RT, ~43400.00UPS, TraCI: 5ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (7ms ~= 142.86*RT, ~39285.71UPS, TraCI: 6ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (11ms ~= 90.91*RT, ~31090.91UPS, TraCI: 8ms, vehicles TOT 507 ACT 342 BUF 0) 
Step #600.00 (14ms ~= 71.43*RT, ~28142.86UPS, TraCI: 7ms, vehicles TOT 595 ACT 394 BUF 10)
Step #700.00 (16ms ~= 62.50*RT, ~27750.00UPS, TraCI: 9ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (21ms ~= 47.62*RT, ~23761.90UPS, TraCI: 9ms, vehicles TOT 785 ACT 499 BUF 0) 
Step #900.00 (27ms ~= 37.04*RT, ~20074.07UPS, TraCI: 14ms, vehicles TOT 861 ACT 542 BUF 61
Step #1000.00 (33ms ~= 30.30*RT, ~19242.42UPS, TraCI: 7ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (35ms ~= 28.57*RT, ~19342.86UPS, TraCI: 0ms, vehicles TOT 1094 ACT 677 BUF 3
Step #1200.00 (44ms ~= 22.73*RT, ~16340.91UPS, TraCI: 10ms, vehicles TOT 1178 ACT 719 BUF 
Step #1300.00 (43ms ~= 23.26*RT, ~17627.91UPS, TraCI: 8ms, vehicles TOT 1270 ACT 758 BUF 8
Step #1400.00 (58ms ~= 17.24*RT, ~14000.00UPS, TraCI: 6ms, vehicles TOT 1367 ACT 812 BUF 1
Step #1500.00 (50ms ~= 20.00*RT, ~16540.00UPS, TraCI: 8ms, vehicles TOT 1429 ACT 827 BUF 1
Step #1600.00 (47ms ~= 21.28*RT, ~17851.06UPS, TraCI: 7ms, vehicles TOT 1489 ACT 839 BUF 2
Step #1700.00 (50ms ~= 20.00*RT, ~16980.00UPS, TraCI: 7ms, vehicles TOT 1552 ACT 849 BUF 2
Step #1800.00 (51ms ~= 19.61*RT, ~16745.10UPS, TraCI: 8ms, vehicles TOT 1601 ACT 854 BUF 3
Step #1900.00 (53ms ~= 18.87*RT, ~16811.32UPS, TraCI: 8ms, vehicles TOT 1681 ACT 891 BUF 3
Step #2000.00 (54ms ~= 18.52*RT, ~16444.44UPS, TraCI: 8ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (54ms ~= 18.52*RT, ~16907.41UPS, TraCI: 7ms, vehicles TOT 1810 ACT 913 BUF 5
Step #2200.00 (53ms ~= 18.87*RT, ~17660.38UPS, TraCI: 8ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (111ms ~= 9.01*RT, ~8459.46UPS, TraCI: 10ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (50ms ~= 20.00*RT, ~18460.00UPS, TraCI: 8ms, vehicles TOT 1935 ACT 923 BUF 7
Step #2500.00 (52ms ~= 19.23*RT, ~17769.23UPS, TraCI: 6ms, vehicles TOT 1967 ACT 924 BUF 8
Step #2600.00 (52ms ~= 19.23*RT, ~17711.54UPS, TraCI: 7ms, vehicles TOT 2000 ACT 921 BUF 9
Step #2700.00 (59ms ~= 16.95*RT, ~15847.46UPS, TraCI: 11ms, vehicles TOT 2042 ACT 935 BUF 
Step #2800.00 (57ms ~= 17.54*RT, ~16631.58UPS, TraCI: 7ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (49ms ~= 20.41*RT, ~19591.84UPS, TraCI: 8ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (50ms ~= 20.00*RT, ~19280.00UPS, TraCI: 1ms, vehicles TOT 2201 ACT 964 BUF 1
Step #3100.00 (50ms ~= 20.00*RT, ~19300.00UPS, TraCI: 7ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (51ms ~= 19.61*RT, ~18549.02UPS, TraCI: 8ms, vehicles TOT 2265 ACT 946 BUF 1
Step #3300.00 (57ms ~= 17.54*RT, ~16912.28UPS, TraCI: 7ms, vehicles TOT 2318 ACT 964 BUF 1
Step #3400.00 (51ms ~= 19.61*RT, ~18823.53UPS, TraCI: 9ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (49ms ~= 20.41*RT, ~19408.16UPS, TraCI: 1ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (56ms ~= 17.86*RT, ~17178.57UPS, TraCI: 7ms, vehicles TOT 2424 ACT 962 BUF 2
Step #3606.00 (53ms ~= 18.87*RT, ~18226.42UPS, TraCI: 12ms, vehicles TOT 2429 ACT 966 BUF 

Step #0.00 (2ms ~= 500.00*RT, ~2500.00UPS, TraCI: 5ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (2ms ~= 500.00*RT, ~58000.00UPS, TraCI: 3ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #200.00 (4ms ~= 250.00*RT, ~42250.00UPS, TraCI: 6ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (6ms ~= 166.67*RT, ~36166.67UPS, TraCI: 5ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (6ms ~= 166.67*RT, ~45833.33UPS, TraCI: 7ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (10ms ~= 100.00*RT, ~34200.00UPS, TraCI: 7ms, vehicles TOT 507 ACT 342 BUF 0)
Step #600.00 (15ms ~= 66.67*RT, ~26266.67UPS, TraCI: 10ms, vehicles TOT 595 ACT 394 BUF 10
Step #700.00 (17ms ~= 58.82*RT, ~26117.65UPS, TraCI: 9ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (40ms ~= 25.00*RT, ~12475.00UPS, TraCI: 13ms, vehicles TOT 785 ACT 499 BUF 0)
Step #900.00 (32ms ~= 31.25*RT, ~16937.50UPS, TraCI: 8ms, vehicles TOT 861 ACT 542 BUF 61)
Step #1000.00 (40ms ~= 25.00*RT, ~15875.00UPS, TraCI: 0ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (36ms ~= 27.78*RT, ~18805.56UPS, TraCI: 8ms, vehicles TOT 1094 ACT 677 BUF 3
Step #1200.00 (42ms ~= 23.81*RT, ~17119.05UPS, TraCI: 8ms, vehicles TOT 1178 ACT 719 BUF 7
Step #1300.00 (79ms ~= 12.66*RT, ~9594.94UPS, TraCI: 9ms, vehicles TOT 1270 ACT 758 BUF 87
Step #1400.00 (294ms ~= 3.40*RT, ~2761.90UPS, TraCI: 1ms, vehicles TOT 1367 ACT 812 BUF 11
Step #1500.00 (99ms ~= 10.10*RT, ~8353.54UPS, TraCI: 9ms, vehicles TOT 1429 ACT 827 BUF 16
Step #1600.00 (59ms ~= 16.95*RT, ~14220.34UPS, TraCI: 8ms, vehicles TOT 1489 ACT 839 BUF 2
Step #1700.00 (173ms ~= 5.78*RT, ~4907.51UPS, TraCI: 0ms, vehicles TOT 1552 ACT 849 BUF 26
Step #1800.00 (60ms ~= 16.67*RT, ~14233.33UPS, TraCI: 9ms, vehicles TOT 1601 ACT 854 BUF 3
Step #1900.00 (53ms ~= 18.87*RT, ~16811.32UPS, TraCI: 8ms, vehicles TOT 1681 ACT 891 BUF 3
Step #2000.00 (49ms ~= 20.41*RT, ~18122.45UPS, TraCI: 7ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (49ms ~= 20.41*RT, ~18632.65UPS, TraCI: 9ms, vehicles TOT 1810 ACT 913 BUF 5
Step #2200.00 (50ms ~= 20.00*RT, ~18720.00UPS, TraCI: 8ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (53ms ~= 18.87*RT, ~17716.98UPS, TraCI: 8ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (265ms ~= 3.77*RT, ~3483.02UPS, TraCI: 18ms, vehicles TOT 1935 ACT 923 BUF 7
Step #2500.00 (53ms ~= 18.87*RT, ~17433.96UPS, TraCI: 9ms, vehicles TOT 1967 ACT 924 BUF 8
Step #2600.00 (54ms ~= 18.52*RT, ~17055.56UPS, TraCI: 0ms, vehicles TOT 2000 ACT 921 BUF 9
Step #2700.00 (55ms ~= 18.18*RT, ~17000.00UPS, TraCI: 7ms, vehicles TOT 2042 ACT 935 BUF 1
Step #2800.00 (62ms ~= 16.13*RT, ~15290.32UPS, TraCI: 8ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (48ms ~= 20.83*RT, ~20000.00UPS, TraCI: 9ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (52ms ~= 19.23*RT, ~18538.46UPS, TraCI: 13ms, vehicles TOT 2201 ACT 964 BUF 
Step #3100.00 (51ms ~= 19.61*RT, ~18921.57UPS, TraCI: 8ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (51ms ~= 19.61*RT, ~18549.02UPS, TraCI: 7ms, vehicles TOT 2265 ACT 946 BUF 1
Step #3300.00 (52ms ~= 19.23*RT, ~18538.46UPS, TraCI: 9ms, vehicles TOT 2318 ACT 964 BUF 1
Step #3400.00 (54ms ~= 18.52*RT, ~17777.78UPS, TraCI: 8ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (53ms ~= 18.87*RT, ~17943.40UPS, TraCI: 0ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (55ms ~= 18.18*RT, ~17472.73UPS, TraCI: 14ms, vehicles TOT 2423 ACT 961 BUF 

Step #0.00 (2ms ~= 500.00*RT, ~2500.00UPS, TraCI: 5ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (1ms ~= 1000.00*RT, ~116000.00UPS, TraCI: 3ms, vehicles TOT 128 ACT 116 BUF 1
Step #200.00 (3ms ~= 333.33*RT, ~56333.33UPS, TraCI: 7ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (6ms ~= 166.67*RT, ~36166.67UPS, TraCI: 1ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (7ms ~= 142.86*RT, ~39285.71UPS, TraCI: 3ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (10ms ~= 100.00*RT, ~34200.00UPS, TraCI: 0ms, vehicles TOT 507 ACT 342 BUF 0)
Step #600.00 (14ms ~= 71.43*RT, ~28142.86UPS, TraCI: 8ms, vehicles TOT 595 ACT 394 BUF 10)
Step #700.00 (17ms ~= 58.82*RT, ~26117.65UPS, TraCI: 8ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (21ms ~= 47.62*RT, ~23761.90UPS, TraCI: 7ms, vehicles TOT 785 ACT 499 BUF 0) 
Step #900.00 (27ms ~= 37.04*RT, ~20074.07UPS, TraCI: 7ms, vehicles TOT 861 ACT 542 BUF 61)
Step #1000.00 (32ms ~= 31.25*RT, ~19843.75UPS, TraCI: 6ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (35ms ~= 28.57*RT, ~19342.86UPS, TraCI: 8ms, vehicles TOT 1094 ACT 677 BUF 3
Step #1200.00 (41ms ~= 24.39*RT, ~17536.59UPS, TraCI: 8ms, vehicles TOT 1178 ACT 719 BUF 7
Step #1300.00 (44ms ~= 22.73*RT, ~17227.27UPS, TraCI: 6ms, vehicles TOT 1270 ACT 758 BUF 8
Step #1400.00 (52ms ~= 19.23*RT, ~15615.38UPS, TraCI: 8ms, vehicles TOT 1367 ACT 812 BUF 1
Step #1500.00 (56ms ~= 17.86*RT, ~14767.86UPS, TraCI: 13ms, vehicles TOT 1429 ACT 827 BUF 
Step #1600.00 (48ms ~= 20.83*RT, ~17479.17UPS, TraCI: 7ms, vehicles TOT 1489 ACT 839 BUF 2
Step #1700.00 (47ms ~= 21.28*RT, ~18063.83UPS, TraCI: 8ms, vehicles TOT 1552 ACT 849 BUF 2
Step #1800.00 (91ms ~= 10.99*RT, ~9384.62UPS, TraCI: 1ms, vehicles TOT 1601 ACT 854 BUF 37
Step #1900.00 (54ms ~= 18.52*RT, ~16500.00UPS, TraCI: 6ms, vehicles TOT 1681 ACT 891 BUF 3
Step #2000.00 (55ms ~= 18.18*RT, ~16145.45UPS, TraCI: 7ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (55ms ~= 18.18*RT, ~16600.00UPS, TraCI: 11ms, vehicles TOT 1810 ACT 913 BUF 
Step #2200.00 (52ms ~= 19.23*RT, ~18000.00UPS, TraCI: 8ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (53ms ~= 18.87*RT, ~17716.98UPS, TraCI: 6ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (52ms ~= 19.23*RT, ~17750.00UPS, TraCI: 10ms, vehicles TOT 1935 ACT 923 BUF 
Step #2500.00 (55ms ~= 18.18*RT, ~16800.00UPS, TraCI: 0ms, vehicles TOT 1967 ACT 924 BUF 8
Step #2600.00 (54ms ~= 18.52*RT, ~17055.56UPS, TraCI: 7ms, vehicles TOT 2000 ACT 921 BUF 9
Step #2700.00 (54ms ~= 18.52*RT, ~17314.81UPS, TraCI: 9ms, vehicles TOT 2042 ACT 935 BUF 1
Step #2800.00 (58ms ~= 17.24*RT, ~16344.83UPS, TraCI: 5ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (58ms ~= 17.24*RT, ~16551.72UPS, TraCI: 7ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (53ms ~= 18.87*RT, ~18188.68UPS, TraCI: 7ms, vehicles TOT 2201 ACT 964 BUF 1
Step #3100.00 (53ms ~= 18.87*RT, ~18207.55UPS, TraCI: 7ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (51ms ~= 19.61*RT, ~18549.02UPS, TraCI: 0ms, vehicles TOT 2265 ACT 946 BUF 1
Step #3300.00 (57ms ~= 17.54*RT, ~16912.28UPS, TraCI: 8ms, vehicles TOT 2318 ACT 964 BUF 1
Step #3400.00 (54ms ~= 18.52*RT, ~17777.78UPS, TraCI: 5ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (52ms ~= 19.23*RT, ~18288.46UPS, TraCI: 8ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (56ms ~= 17.86*RT, ~17178.57UPS, TraCI: 7ms, vehicles TOT 2424 ACT 962 BUF 2
Step #3612.00 (50ms ~= 20.00*RT, ~19420.00UPS, TraCI: 22ms, vehicles TOT 2435 ACT 971 BUF 

Step #0.00 (2ms ~= 500.00*RT, ~2500.00UPS, TraCI: 5ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (2ms ~= 500.00*RT, ~58000.00UPS, TraCI: 6ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #200.00 (4ms ~= 250.00*RT, ~42250.00UPS, TraCI: 3ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (5ms ~= 200.00*RT, ~43400.00UPS, TraCI: 1ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (7ms ~= 142.86*RT, ~39285.71UPS, TraCI: 1ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (11ms ~= 90.91*RT, ~31090.91UPS, TraCI: 7ms, vehicles TOT 507 ACT 342 BUF 0) 
Step #600.00 (14ms ~= 71.43*RT, ~28142.86UPS, TraCI: 2ms, vehicles TOT 595 ACT 394 BUF 10)
Step #700.00 (16ms ~= 62.50*RT, ~27750.00UPS, TraCI: 6ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (23ms ~= 43.48*RT, ~21695.65UPS, TraCI: 6ms, vehicles TOT 785 ACT 499 BUF 0) 
Step #900.00 (27ms ~= 37.04*RT, ~20074.07UPS, TraCI: 8ms, vehicles TOT 861 ACT 542 BUF 61)
Step #1000.00 (33ms ~= 30.30*RT, ~19242.42UPS, TraCI: 7ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (36ms ~= 27.78*RT, ~18805.56UPS, TraCI: 6ms, vehicles TOT 1094 ACT 677 BUF 3
Step #1200.00 (42ms ~= 23.81*RT, ~17119.05UPS, TraCI: 1ms, vehicles TOT 1178 ACT 719 BUF 7
Step #1300.00 (42ms ~= 23.81*RT, ~18047.62UPS, TraCI: 7ms, vehicles TOT 1270 ACT 758 BUF 8
Step #1400.00 (54ms ~= 18.52*RT, ~15037.04UPS, TraCI: 7ms, vehicles TOT 1367 ACT 812 BUF 1
Step #1500.00 (49ms ~= 20.41*RT, ~16877.55UPS, TraCI: 6ms, vehicles TOT 1429 ACT 827 BUF 1
Step #1600.00 (47ms ~= 21.28*RT, ~17851.06UPS, TraCI: 6ms, vehicles TOT 1489 ACT 839 BUF 2
Step #1700.00 (50ms ~= 20.00*RT, ~16980.00UPS, TraCI: 0ms, vehicles TOT 1552 ACT 849 BUF 2
Step #1800.00 (53ms ~= 18.87*RT, ~16113.21UPS, TraCI: 6ms, vehicles TOT 1601 ACT 854 BUF 3
Step #1900.00 (54ms ~= 18.52*RT, ~16500.00UPS, TraCI: 8ms, vehicles TOT 1681 ACT 891 BUF 3
Step #2000.00 (50ms ~= 20.00*RT, ~17760.00UPS, TraCI: 7ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (52ms ~= 19.23*RT, ~17557.69UPS, TraCI: 7ms, vehicles TOT 1810 ACT 913 BUF 5
Step #2200.00 (53ms ~= 18.87*RT, ~17660.38UPS, TraCI: 6ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (54ms ~= 18.52*RT, ~17388.89UPS, TraCI: 0ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (51ms ~= 19.61*RT, ~18098.04UPS, TraCI: 9ms, vehicles TOT 1935 ACT 923 BUF 7
Step #2500.00 (54ms ~= 18.52*RT, ~17111.11UPS, TraCI: 9ms, vehicles TOT 1967 ACT 924 BUF 8
Step #2600.00 (52ms ~= 19.23*RT, ~17711.54UPS, TraCI: 8ms, vehicles TOT 2000 ACT 921 BUF 9
Step #2700.00 (52ms ~= 19.23*RT, ~17980.77UPS, TraCI: 2ms, vehicles TOT 2042 ACT 935 BUF 1
Step #2800.00 (57ms ~= 17.54*RT, ~16631.58UPS, TraCI: 7ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (53ms ~= 18.87*RT, ~18113.21UPS, TraCI: 7ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (59ms ~= 16.95*RT, ~16338.98UPS, TraCI: 7ms, vehicles TOT 2201 ACT 964 BUF 1
Step #3100.00 (51ms ~= 19.61*RT, ~18921.57UPS, TraCI: 8ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (51ms ~= 19.61*RT, ~18549.02UPS, TraCI: 8ms, vehicles TOT 2265 ACT 946 BUF 1
Step #3300.00 (54ms ~= 18.52*RT, ~17851.85UPS, TraCI: 7ms, vehicles TOT 2318 ACT 964 BUF 1
Step #3400.00 (51ms ~= 19.61*RT, ~18823.53UPS, TraCI: 9ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (50ms ~= 20.00*RT, ~19020.00UPS, TraCI: 9ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (53ms ~= 18.87*RT, ~18150.94UPS, TraCI: 9ms, vehicles TOT 2424 ACT 962 BUF 2
Step #3609.00 (53ms ~= 18.87*RT, ~18264.15UPS, TraCI: 13ms, vehicles TOT 2432 ACT 968 BUF 

Step #0.00 (3ms ~= 333.33*RT, ~1666.67UPS, TraCI: 9ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (2ms ~= 500.00*RT, ~58000.00UPS, TraCI: 3ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #200.00 (3ms ~= 333.33*RT, ~56333.33UPS, TraCI: 5ms, vehicles TOT 221 ACT 169 BUF 0) 
